TransactionID,customer_id,card_id,ts,TransactionAmt,ProductCD,channel,risk_score,addr1,P_emaildomain,device_profile_id,id_15,id_23,id_34
SMP-T1001,SMP-C101,SMP-C101-K1,2026-09-10T12:10:00Z,42.10,R,in_person,0.12,204,gmail.com,,,,
SMP-T1002,SMP-C101,SMP-C101-K1,2026-09-14T18:30:00Z,67.45,R,in_person,0.15,204,gmail.com,,,,
SMP-T1003,SMP-C101,SMP-C101-K1,2026-09-18T09:05:00Z,23.80,R,in_person,0.10,204,gmail.com,,,,
SMP-T1004,SMP-C101,SMP-C101-K1,2026-09-21T02:11:00Z,1.00,W,online,0.41,204,protonmail.com,SMP-DEV-77,New,,
SMP-T1005,SMP-C101,SMP-C101-K1,2026-09-21T02:14:00Z,2.50,W,online,0.47,204,protonmail.com,SMP-DEV-77,New,,
SMP-T1006,SMP-C101,SMP-C101-K1,2026-09-21T02:19:00Z,0.99,W,online,0.52,204,protonmail.com,SMP-DEV-77,New,,
SMP-T1007,SMP-C101,SMP-C101-K1,2026-09-21T02:31:00Z,389.99,W,online,0.74,204,protonmail.com,SMP-DEV-77,New,,
SMP-T2001,SMP-C202,SMP-C202-K1,2026-09-01T19:20:00Z,54.20,W,online,0.18,204,yahoo.com,SMP-DEV-12,Found,,
SMP-T2002,SMP-C202,SMP-C202-K1,2026-09-08T20:05:00Z,61.75,W,online,0.21,204,yahoo.com,SMP-DEV-12,Found,,
SMP-T2003,SMP-C202,SMP-C202-K1,2026-09-15T18:45:00Z,48.90,W,online,0.17,204,yahoo.com,SMP-DEV-12,Found,,
SMP-T2004,SMP-C202,SMP-C202-K1,2026-09-21T21:40:00Z,212.00,W,online,0.63,204,yahoo.com,SMP-DEV-90,New,,
SMP-T2005,SMP-C202,SMP-C202-K1,2026-09-22T08:05:00Z,1480.00,W,online,0.88,330,yahoo.com,SMP-DEV-90,New,,
SMP-T3000,SMP-C301,SMP-C301-K1,2026-08-30T22:15:00Z,640.00,W,online,0.79,330,outlook.com,SMP-DEV-90,New,,
SMP-T3001,SMP-C301,SMP-C301-K1,2026-09-20T23:10:00Z,890.00,W,online,0.83,330,outlook.com,SMP-DEV-90,New,,
SMP-T3101,SMP-C302,SMP-C302-K1,2026-09-21T01:55:00Z,1120.00,W,online,0.86,330,outlook.com,SMP-DEV-90,New,,
SMP-T3301,SMP-C303,SMP-C303-K1,2026-09-02T08:40:00Z,31.20,R,in_person,0.09,204,gmail.com,,,,
SMP-T3302,SMP-C303,SMP-C303-K1,2026-09-06T13:15:00Z,78.60,R,in_person,0.11,204,gmail.com,,,,
SMP-T3303,SMP-C303,SMP-C303-K1,2026-09-10T17:50:00Z,45.00,R,in_person,0.10,204,gmail.com,,,,
SMP-T3304,SMP-C303,SMP-C303-K1,2026-09-14T09:30:00Z,52.35,R,in_person,0.12,204,gmail.com,,,,
SMP-T3305,SMP-C303,SMP-C303-K1,2026-09-19T18:40:00Z,85.00,R,in_person,0.38,512,gmail.com,,,,
SMP-T3306,SMP-C303,SMP-C303-K1,2026-09-19T14:20:00Z,640.00,R,in_person,0.66,512,gmail.com,,,,
SMP-T3307,SMP-C303,SMP-C303-K1,2026-09-20T10:10:00Z,22.40,R,in_person,0.08,204,gmail.com,,,,
SMP-T4001,SMP-C404,SMP-C404-K1,2026-09-05T20:30:00Z,35.00,W,online,0.14,204,icloud.com,SMP-DEV-40,Found,,match_status:2
SMP-T4002,SMP-C404,SMP-C404-K1,2026-09-11T12:45:00Z,60.00,R,in_person,0.11,204,icloud.com,,,,match_status:2
